"Site","Pollinator","filn","nPoll","nRais","nGarb","mH","P_ADOX.Viburnum","P_APIA.Apiaceae","P_ASTE.Arnica.montana","P_ASTE.Cirsium.group","P_ASTE.Crepis.group","P_ASTE.Matricaria.group","P_ASTE.Senecio.group","P_BORA.Echium.vulgare","P_BRAS.Brassicaceae","P_CAPR.Lonicera.periclymenum.group","P_CAPR.Succisa.pratensis","P_CARY.Caryophyllaceae","P_ERIC.Ericaceae","P_FABA.Astragalus.group","P_FABA.Lathyrus.group","P_FABA.Trifolium.pratense.group","P_FABA.Trifolium.repens.group","P_FABA.Vicia.group","P_GERA.Geranium.group","P_LAMI.Prunella.group","P_MALV.Tilia","P_ONAG.Epilobium.group","P_OROB.Rhinanthus","P_PLAN.Digitalis","P_PLAN.Veronica","P_POAC.Poaceae","P_POLY.Rumex","P_RANU.Ranunculus.group","P_ROSA.Filipendula","P_ROSA.Geum","P_ROSA.Potentilla.group","P_ROSA.Rosa","P_ROSA.Sorbus.group","P_ROSA.Spiraea","P_RUBI.Galium"
11,29,"S11_P29 1018718",464.010681345,77,1612.989318655,0.097287036,1.03219419195316e-06,0.0172772181326415,0.00878587060827826,0.0118743669948806,0.709628484290818,0.000155297123635345,0.000690413650261517,4.07867025364016e-05,0.0197933157396825,3.14668909003197e-06,0.00512678929792762,0.0012168767818901,0.0068704689336124,0.000631881224665789,1.88400493288538e-07,5.81235564400809e-08,0.0426162106223427,0.0168543161466349,7.12514631532716e-06,1.65351496769196e-07,0.000801777382270429,2.41513398311371e-07,2.24477183492726e-07,1.10234331179464e-11,0.00193876534009421,0.00349448341555459,0.000330904421725365,0.000242417319827042,0.00959234998583863,0.0542754944030076,0.00488783233396933,2.64562394830713e-06,9.87098329197926e-05,0.0824381092219623,0.000322032562325985
11,30,"S11_P30 1018633",1436.99277757,598,1953.00722243,0.315677017,6.6028724046816e-06,0.124152581570544,0.00545276141067544,0.024751213408186,0.292362754000622,0.000925752815417841,0.000743543641330109,0.000421911504946562,0.00536235122905772,1.03358033082402e-06,0.00524425213281046,3.80317422701265e-06,0.0270571913348173,0.00498586909181705,0.000254251730098265,1.40486646908119e-06,0.012822500247026,0.0134420754606962,0.000273021749601239,3.51216617270298e-06,0.0054299714661188,3.29140144184736e-05,0.00025025287804163,1.72597880487118e-09,3.56233997517016e-06,0.00144233827171578,3.52220093319642e-05,0.000103761430454238,0.134409540762111,0.165678135432955,0.0847426994124342,0.0137713430463392,0.00114136770718822,0.0720548676581823,0.00263563385750545
12,1,"S12_P01 1019077",337.070637435,51,854.929362565,0.223641202,0.00146724399866174,0.104097041252,0.416244534911303,0.000838066674234593,0.019825846179007,2.46401753977234e-05,0.151991285632066,1.67955481282441e-05,0.0035309401516581,2.50424639756454e-08,8.52851785194672e-06,0.000844958883295842,0.0271149883514843,0.00227915990388851,1.3577239504868e-07,0.000165499509514227,3.52002505681763e-05,0.00276244928697512,3.82174149025914e-05,0.000126251230130711,0.00264909844581692,0.000381646145267392,0.0017378011703003,0.0281610965523484,0.0032414371994423,5.12917936850569e-06,0.0006765679246278,0.00436842149601182,0.0284729959154185,0.00871662296237583,0.00389219831179641,0.00354214589999612,0.15263006659057,1.2169229482141e-07,0.0301128418284377
12,2,"S12_P02 1019092",880.312546134,23,646.687453866,0.086793892,0.133028453612253,0.00453084493516366,0.702505104007552,0.00321720115929881,0.0372532867309462,2.55487926754709e-05,0.00841923592205617,0.000498251552843596,0.0104071484055105,5.41033256657032e-08,3.48665876512309e-05,1.03197084140137e-05,1.07204737893153e-06,0.00712055772721852,2.88551070217083e-07,2.74524282081531e-06,3.57683097456593e-07,6.41224600482408e-06,9.41798631958536e-07,0.00140552524963335,5.94134668884481e-07,5.87121274816705e-07,2.22424783292335e-05,3.24619953994219e-05,2.39457311742649e-07,0.00227349488415384,0.00217819788747433,0.00750018974236694,0.000285097474595423,8.71664691280773e-06,0.00446616440933031,0.00892079679498632,0.00357541026131049,0.00199877522895185,0.0602688154193869
12,3,"S12_P03 1019157",1614.397470955,20,1165.602529045,0.187833592,0.00630737306686159,0.0054472983839458,0.544203997555114,3.91144930678093e-05,0.19651477749336,0.00104363769840116,0.188403559048837,2.68099338674499e-06,0.0031274218015767,8.83327298692472e-10,4.72174954680461e-09,1.5105597067108e-05,0.000592570564787978,0.000434908146234039,4.31159757345929e-06,6.54242416019113e-10,2.86106010675025e-05,0.000449421523866463,5.68210538683266e-08,0.000521440208903233,3.59133069343825e-09,1.00037066669589e-06,2.08077098672745e-06,0.00230126968796856,5.31196824015518e-05,0.00251124949164936,0.00599833655976457,0.00360587608293201,0.00169027529661205,1.79066349338565e-05,0.00216479712087657,0.00146786088554421,2.63097485341019e-05,0.00683793665624509,0.0261856855651303
12,4,"S12_P04 1019115",184.9965775,8,497.0034225,0.120868005,1.09001878931987e-05,0.0128258670873076,0.732523491955003,0.00548212449872956,2.90004998993361e-06,0.000518571938941359,0.0707106408825211,4.83008325909632e-10,6.25010773692588e-07,4.29007395062592e-09,2.81004843852187e-06,0.0916607240119045,0.0115120824407989,0.000520996980743286,3.07005292037799e-06,0.00495247436882666,2.94005067944993e-05,0.00233416523543234,1.52002620162037e-07,7.02012101011515e-06,2.87004947279636e-05,0.00115293387382563,1.66002861492751e-06,0.00530791849583425,7.50012928431105e-06,1.43002465020864e-08,2.00003447581628e-07,0.00182042837983627,0.00583728562085883,0.0116447007268213,3.59006188409022e-06,2.56004412904484e-08,0.0192128821841893,7.16012342342229e-10,0.0218841372302446
12,5,"S12_P05 1018851",1836.99426856,14,1123.00573144,0.0844042,1.39000305656872e-07,2.18000479375527e-10,0.92538250288417,0.00166614766380118,0.00521711447225458,1.79000393615685e-07,0.0536486229714694,1.28000281468199e-06,0.00015804734754066,2.9400064649727e-11,2.50000549742576e-10,0.00109213340156364,2.12000466181705e-09,0.00049780909466501,1.05000230891882e-05,1.40000307855843e-10,8.02001763574185e-12,0.000144358317438955,6.5600144252452e-11,2.66000584926101e-07,3.51000771838577e-12,4.53000996133548e-07,7.29001603049353e-08,5.73001260009985e-07,7.5300165582464e-08,6.08001336973946e-06,0.000552104214058102,0.00164275261235627,1.20000263876437e-06,4.10000901577825e-06,0.00116727756680306,0.00104814230482874,0.000544360197029276,0.00098111815744495,0.00623258770524515
12,6,"S12_P06 1019110",1182.203590204,37,1391.796409796,0.05782849,0.064855749678704,0.000869462659555318,0.847824141659708,0.00233932397824257,0.0109642719596816,8.64578392041943e-07,0.0163015965625372,0.000119603012907441,0.00277745508242643,9.51636632907277e-09,9.42630607990173e-08,4.31288526585738e-07,0.00440921570970959,0.00347887132104521,1.43095729238423e-07,4.83323337217891e-07,1.1807899335758e-07,0.0015762154682722,0.000151382272831594,9.6864801330625e-06,1.49099745849826e-06,4.51301915290412e-08,7.96532870446049e-05,2.26151292362823e-05,1.75117151165903e-05,0.00499708398617352,0.003164001677224,0.000988128045201945,0.00179122230513482,0.000704501302487603,0.0066528156497777,0.00574601100890776,0.00553539510952694,3.28219574756663e-08,0.014620371844401
12,7,"S12_P07 1019122",210.530842977,28,471.469157023,0.139785677,0.00338030715288708,0.0352524689949282,0.536974817288132,0.000264080952748027,0.0147069640559842,1.84409873870513e-05,0.166607361573725,1.00122534780784e-07,0.000479926696748009,5.59242987063838e-09,4.85078146485479e-07,0.00220144598739074,3.47772968657978e-06,0.00213269317571945,0.00135043751526407,3.97884347427139e-05,1.68374232664381e-06,0.000585339990899241,7.50668453962033e-06,8.34855570294223e-06,6.10356593408382e-06,0.000115625993144387,8.12806563635793e-06,0.0215486946527996,0.00104140765798768,0.0189605090886199,2.51559121421189e-06,3.68819747741025e-06,4.88084829211629e-07,1.02227212689089e-08,0.0170996180268893,7.26614992152836e-07,0.0141905943601401,0.00819739071997476,0.154808818845717
12,8,"S12_P08 1019067",71.991020664,26,3964.008979336,0.231754854,3.35041730710667e-06,0.0417912132531636,0.0139977814764545,0.0120326017059054,0.15443904596541,5.7407150276992e-05,7.40092181271325e-07,1.41017564269266e-08,6.13076360972057e-06,4.21052443669227e-07,9.25115226589156e-06,1.5601943280855e-06,0.084142496265127,0.00131222044200312,1.67020803070691e-07,0.000957538265000825,0.0184403208114771,0.00303676924105759,9.83122451607719e-09,7.69095793780606e-05,3.06038118201386e-06,1.36016941422838e-05,0.00141282597280127,6.63082589436336e-08,0.000219735368868595,0.027758557432978,0.0109368722286681,0.00632237947619913,0.00320899969300969,0.0114130865429563,0.065728439724964,0.0774908617789751,0.203115191762878,1.02012706067129e-06,0.262069352725883
